Comment
"4.9/5
17 Ratings
16
0
1
0
0"
"আলহামদুলিল্লাহ! 
আপনাদের কাছ থেকে  আগেও Al kaaba নিয়ছিলাম।এখন এই আতর।দুটির মধ্যে ভিন্নতা আছে, খুবই সুন্দর ঘ্রাণ। মাশা-আল্লাহ। একটা  তাসবি Gift পেয়েছি thank's."
"আসসালামু আলাইকুম, Arabian Nights -এ অর্ডারের জন্য ও আপনার মূল্যবান মতামতের জন্য অসংখ্য ধন্যবাদ। অনুগ্রহ করে আমাদের স্টোরটি Follow দিয়ে আমাদের পাশেই থাকুন।"
পবিত্র সুগন্ধি নিয়মিত হারামাইন আল ক্বাবা লাগাই 👍সেলার সঠিক এবং অরিজিনাল আতর দিছে 👍 বাইরে ৩মিলি ৫০০/৬০০ টাকাই নিতাম নরমাল বোতলে আর এখানে সেইম আতর প্রিমিয়াম শিশি দিয়া অনেক কমেই পাইলাম।ধন্যবাদ ভাই👍👍❤️
আব্বু আমাকে বললেন কি আতর লাগাইছোস বাবা নবীর দেশে তো এমনি সুঘ্রাণ নাকে আসতো।দে তো একটু লাগিয়ে দে আমাকে।আব্বুর খুশিতে সেখানেই এত দামি আতর কিনা স্বার্থক আমার যা দাম দিয়ে এই খুশির বিচার করা যাবে না ❤️❤️❤️সেলার অনেক যত্নের সাথে আতরটি প্যাকেজ করে দিয়েছিল।অনেক ভাল এবং সুন্দর একটি আতর নিতে পারেন সবাই।৷
"আসসালামু আলাইকুম, Arabian Nights -এ অর্ডারের জন্য ও আপনার মূল্যবান মতামতের জন্য অসংখ্য ধন্যবাদ। অনুগ্রহ করে আমাদের স্টোরটি Follow দিয়ে আমাদের পাশেই থাকুন।"
"গ্রানে আবেগে আপ্লুত হলাম🥺🥺 মনে পরে গেল পবিত্র হজ্জ্বের দিনের কথা , রাসুলের দেশের সুভাস বার বার নিতে মনে চায়।আতরটা তেমনি প্রান জুড়ানো গ্রান খুবি উন্নতমানের আতর পেলাম ।আতের বোতল ও প্যাকেজিং অসাধারণ।  ধন্যবাদ।"
"সবকিছু ঠিক আছে, আমার কাছে ভালো লেগেছে। দুইটা অর্ডার করছিলাম। একটা আমি নেবো আর একটা আমার নানা কে গিফট করবো।"
