Review
"Sohel Rana
d
n
p
S
s
o
o
t
e
r
0
t
t
c
9
7
7
5
3
3
u
l
0
0
0
1
7
1
8
g
h
4
1
u
1
5
1
i
5
m
0
0
0
8
2
9
1
3
0
i
0
6
4
6
2
7
2
7
h
g
  ·
Alhamdulillah 10 Minute School theka 2 ta banan common paisi
All reactions:
35
35
9 comments
Like
Comment
Share

Write a comment…
Jannatul Ferdaus
আমি বাংলা ১ম পত্র তে ওদের বিশ্বাস কইরা ঠইকা গেছিলাম
তারপর থেকা আর সাহস হয়না
Like
Reply
17h
Author
Sohel Rana
Jannatul Ferdaus ami o same but tao kono rokom dheika gasilam r ki
সরস্বতী আর ইতিমধ্যে dheki common paiya gasi
Like
Reply
17h
View more replies
View more comments"
"Jannatul Ferdaus
আমি বাংলা ১ম পত্র তে ওদের বিশ্বাস কইরা ঠইকা গেছিলাম
তারপর থেকা আর সাহস হয়না
Like
Reply
17h"
"Author
Sohel Rana
Jannatul Ferdaus ami o same but tao kono rokom dheika gasilam r ki
সরস্বতী আর ইতিমধ্যে dheki common paiya gasi
Like
Reply
17h"
""
""
"Sohel Rana
d
n
p
S
s
o
o
t
e
r
0
t
t
c
9
7
7
5
3
3
u
l
0
0
0
1
7
1
8
g
h
4
1
u
1
5
1
i
5
m
0
0
0
8
2
9
1
3
0
i
0
6
4
6
2
7
2
7
h
g
  ·
Alhamdulillah 10 Minute School theka 2 ta banan common paisi
All reactions:
35
35
9 comments
Like
Comment
Share

Write a comment…
Jannatul Ferdaus
আমি বাংলা ১ম পত্র তে ওদের বিশ্বাস কইরা ঠইকা গেছিলাম
তারপর থেকা আর সাহস হয়না
Like
Reply
17h
Author
Sohel Rana
Jannatul Ferdaus ami o same but tao kono rokom dheika gasilam r ki
সরস্বতী আর ইতিমধ্যে dheki common paiya gasi
Like
Reply
17h
View more replies
View more comments"
"Jannatul Ferdaus
আমি বাংলা ১ম পত্র তে ওদের বিশ্বাস কইরা ঠইকা গেছিলাম
তারপর থেকা আর সাহস হয়না
Like
Reply
17h"
"Author
Sohel Rana
Jannatul Ferdaus ami o same but tao kono rokom dheika gasilam r ki
সরস্বতী আর ইতিমধ্যে dheki common paiya gasi
Like
Reply
17h"
"Artik Sarker
  ·
10 Minute School বাদে সবার সাজেশন ফলো করুন, কমন পাবেন।
ধন্যবাদ।
All reactions:
32
32
Like
Comment
Share

Write a comment…"
"Jabed Hossen Ontor
  ·
মেসির ট্রফির মতো বাংলা ২ পত্রের ট্রফিটা জিতে গেলাম 
thanks 10 Minute School 
0:00 / 0:48
All reactions:
49
49
5 comments
46 shares
Like
Comment
Share

Write a comment…
Fariha Tasrin Tanisa
একটাতে এতো নাচিও না
Like
Reply
7h
View more comments"
"Fariha Tasrin Tanisa
একটাতে এতো নাচিও না
Like
Reply
7h"
"Bristy Biswas
  ·
মা কালীর অশেষ কৃপা! 
প্রতি বছর এর ন্যায় এ বছর ও বাংলা প্রথম পএ এর মতো বাংলা দ্বিতীয় পএতে 10 Minute School  এর দেওয়া সাজেশন থেকে ০০০% কমন এসেছে! 
All reactions:
34
34
24 comments
1 share
Like
Comment
Share

Write a comment…
Author
Bristy Biswas
শুধু এই নামি প্লাটফরম নাহ! শাদিন নাই, দিল দার ভাই,,কচুর ভাই ঘেচুর ভাই কারো থেকে কিছু আসেনি!
তাও তারা নির্লজ্জ এর মতো ভিডিও এর শুরুতেই বলবে কি?? বলছিলাম না আসবে?? মানে লজ্জাও করে নাহ।
Like
Reply
1d
Author
Bristy Biswas
Anik Das কই??
Like
Reply
1d
View more replies
View more comments"
"Author
Bristy Biswas
শুধু এই নামি প্লাটফরম নাহ! শাদিন নাই, দিল দার ভাই,,কচুর ভাই ঘেচুর ভাই কারো থেকে কিছু আসেনি!
তাও তারা নির্লজ্জ এর মতো ভিডিও এর শুরুতেই বলবে কি?? বলছিলাম না আসবে?? মানে লজ্জাও করে নাহ।
Like
Reply
1d"
"Author
Bristy Biswas
Anik Das কই??
Like
Reply
1d"
"Shanto
  ·
10 Minute School the platform who guarantees most common suggestion!
All reactions:
42
42
1 comment
Like
Comment
Share

Write a comment…
Ahmed Taizul
Hae re
Like
Reply
3h"
"Ahmed Taizul
Hae re
Like
Reply
3h"
""
""
